,country,city,yelp,four_square,google
"67.61667, 77.63333",Russia,Mys Ne-Sale,0.0,0.0,0.0
"50.099, 100.849",Mongolia,Tsagaan Uul,0.0,0.0,0.0
"-0.41813, 18.79975",Democratic Republic of the Congo,Boalangombe,0.0,0.0,0.0
"53.6804, 77.45645",Russia,Sheynfel’d,0.0,1.0,0.0
"60.88667, -147.11889",United States,Growler Bay,0.0,1.0,0.0
"2.34218, 172.82043",,Fetulele Seamount,0.0,0.0,0.0
"66.076537, 54.678379",Russia,Voyvozh,0.0,0.0,0.0
"55.49224, 161.22818",Russia,Yubileynaya,0.0,0.0,0.0
"52.32639, -6.64056",Ireland,Taghmon,0.0,30.0,0.0
"49.99949, -68.50038",Canada,Rapides Benoît,0.0,1.0,0.0
"53.10838, 69.116188",Kazakhstan,Sel’khozkoloniya,0.0,0.0,0.0
"63.9, -124.85",Canada,Cloverleaf Lake,0.0,0.0,0.0
"67.266667, 66.333333",Russia,Gora Kharbey,0.0,0.0,0.0
"25.7365, 74.0556",India,Hiraji ka Gaon,0.0,6.0,0.0
"43.74028, 125.21028",China,Hanjiutongzi,0.0,30.0,0.0
"43.87634, -109.29792",United States,Kirwin,0.0,0.0,0.0
"42.65607, -108.32454",United States,Samuel P Large Ditch,0.0,0.0,0.0
"-21.75, -41.48333",Brazil,Santa Rita,0.0,30.0,0.0
"-50.01542, -71.84398",Argentina,La Meseta,0.0,0.0,0.0
"4.98262, -61.73441",Venezuela,Uonquen,0.0,0.0,0.0
"20.82016, 53.11578",Saudi Arabia,Shabk al Karab,0.0,0.0,0.0
"21.64639, 41.20167",Saudi Arabia,Jabal Umm al ‘Uhūd,0.0,2.0,0.0
"63.12336, 11.07736",Norway,Uthus,0.0,7.0,0.0
"16.185192, -12.450526",Mauritania,Chelkhat Ghiarhoum,0.0,0.0,0.0
"-31.07233, 134.9825",Australia,Yerda Well,0.0,0.0,0.0
"14.7, 33.63333",Sudan,Fennisa,0.0,1.0,0.0
"16.87949, 2.62364",Mali,Aounkari,0.0,0.0,0.0
"64.716667, 119.366667",Russia,Озеро Эрыппан,0.0,0.0,0.0
"30.24341, -96.42941",United States,Prairie Hill,1.0,30.0,0.0
"14.45603, 47.54409",Yemen,Tabaq,0.0,0.0,0.0
"26.459, 108.836",China,Kouwen,0.0,0.0,0.0
"40.4957, 73.78705",Kyrgyzstan,Uryuk,0.0,0.0,0.0
"15.36667, 107.9",Vietnam,Cô Xôn Mai,0.0,0.0,0.0
"30.26722, -85.9747",United States,Laguna Beach,23.0,30.0,0.0
"-33.55052, 140.93201",Australia,Alick Dam,0.0,0.0,0.0
"17.36068, 74.15735",India,Siravda,0.0,30.0,0.0
"60.41691, -64.4484",Canada,Cabot Island,0.0,0.0,0.0
"52.79814, -96.65339",Canada,Opekamank,0.0,0.0,0.0
"59.68352, -104.05059",Canada,McHarg Lake,0.0,0.0,0.0
"38.01667, 104.36667",China,Qalgarin Sum,0.0,1.0,0.0
"10.33075, -71.31925",Venezuela,Santa Rosa,0.0,30.0,0.0
"-9.31667, -40.01667",Brazil,Barauna,0.0,2.0,0.0
"65.083333, -5.416667",,Viking Trough,0.0,0.0,0.0
"38.1448, 48.0327",Iran,Gazir,0.0,30.0,0.0
"-8.11667, 118.06667",Indonesia,Kawinda,0.0,0.0,0.0
"-10.35, 132.75",,Money Shoal,0.0,0.0,0.0
"53.72508, -96.95666",Canada,Matamusko Creek,0.0,0.0,0.0
"-10.51667, -39.56667",Brazil,Montes,0.0,1.0,0.0
"5.238611, 105.575556",,Anoa Field,0.0,5.0,0.0
"55.84829, -100.42316",Canada,Highrock,0.0,0.0,0.0
"-38.58593, -61.06297",Argentina,El Zorro,0.0,0.0,0.0
"12.41667, 29.08333",Sudan,Kinanah,0.0,0.0,0.0
"2.8036, 131.7697",Palau,Helen Reef South Point,0.0,0.0,0.0
"48.8243, 134.8922",Russia,Golubichnoye,0.0,0.0,0.0
"-61, 161.5",,Balleny Seamounts,0.0,0.0,0.0
"52.7, 37.43333",Russia,Isakovka,0.0,11.0,0.0
"9.53333, 107.66667",Vietnam,Wallace Bank,0.0,0.0,0.0
"0.63537, 26.13737",Democratic Republic of the Congo,Bafwaboli,0.0,0.0,0.0
"-0.31667, -63.96667",Brazil,Providencia,0.0,0.0,0.0
"67.25, 45.38333",Russia,Negrenskaya Viska,0.0,0.0,0.0
"53.675, 62.57999",Kazakhstan,Kravtsovo,0.0,6.0,0.0
"-75.84657, -72.46672",,"Hassage, Mount",0.0,0.0,0.0
"-18.73568, 137.02596",Australia,Playford Bore,0.0,0.0,0.0
"-22.083333, 124",Australia,Lake Wooloomber,0.0,0.0,0.0
"49.96569, 8.05907",Germany,Nieder-Ingelheim,68.0,30.0,0.0
"25.35154, 33.4661",Egypt,Wâdi Abu Heita,0.0,0.0,0.0
"21.68333, 102.48333",Laos,Nam Houn,0.0,0.0,0.0
"-79.78333, 158.43333",,Palisade Valley,0.0,0.0,0.0
"1.14069, 127.49139",Indonesia,Awer,0.0,30.0,0.0
"50.76651, -119.00234",Canada,Sicamous,0.0,30.0,0.0
"-18.01667, -65",Bolivia,Curadero,0.0,0.0,0.0
"54.385833, 0.575278",,Inner Bank,0.0,0.0,0.0
"-9.98239, 25.45419",Democratic Republic of the Congo,Kapete,0.0,0.0,0.0
"45.46709, 128.02501",China,Yongxiang,0.0,1.0,0.0
"-6.32222, 29.97928",Tanzania,Itura,0.0,0.0,0.0
"10.333333, -74.8",Colombia,Cerro de San Antonio,0.0,28.0,0.0
"-20.95, -42.16667",Brazil,Santa Rita dos Coqueiros,0.0,30.0,0.0
"44.113677, 133.668392",Russia,Pshenitsyno,0.0,0.0,0.0
"47.8, 103.25",Mongolia,Uydzengiin Hural,0.0,0.0,0.0
"-24.57408, -60.9373",Argentina,El Quebracho Marcado,0.0,0.0,0.0
"8.41667, 35.28333",Ethiopia,Workaye,0.0,0.0,0.0
"-24.55, 18.93333",Namibia,Sandfeld,0.0,0.0,0.0
"25.98971, 67.87011",Pakistan,Goth Nuh,0.0,1.0,0.0
"30.87166, 28.88959",Egypt,Ad Daraziyah,0.0,30.0,0.0
"25.94833, 75.55503",India,Jareli ka Jhonpara,0.0,4.0,0.0
"33.94483, -6.93106",Morocco,Temara,0.0,30.0,0.0
"-0.36667, 10.46667",Gabon,Mfoua,0.0,0.0,0.0
"26.26667, 33.96667",Egypt,El-Kab Aqab,0.0,0.0,0.0
"-10.96667, -67.08333",Bolivia,San Roque,0.0,0.0,0.0
"57.60471, 10.23313",Denmark,Vesterklit,3.0,30.0,0.0
"40.33869, 36.25858",Turkey,Cariksiz,0.0,30.0,0.0
"46.08828, -92.40186",United States,Markville,0.0,30.0,0.0
"49.19069, -66.08518",Canada,La Colonie,0.0,9.0,0.0
"60.219823, 151.71684",Russia,Nukh,0.0,0.0,0.0
"46.95, 50.45",Kazakhstan,Burli,0.0,0.0,0.0
"26.0437, 108.279",China,Gujia,0.0,0.0,0.0
"48.01358, 47.18474",Kazakhstan,Dzhan-Gendyr,0.0,0.0,0.0
"0.1078, -73.50294",Colombia,Quebrada Huitoto,0.0,0.0,0.0
"-19.99338, -63.94584",Bolivia,Piramiri,0.0,0.0,0.0
